ID;USD;EUR;JPY;GBP;CAD;CHF;INR;CNY;TRY;SAR;IDR;AED;THB;VND;EGP;KRW;RUB;ZAR;AUD
33704;341,9;260;45.402,50;193,8;406;515,6;9.892,60;1.847,30;2,2;1.290,90;691.024,50;1.264,20;8.770,40;3.866.798,70;1.136,50;263.916,10;0;984,1;449,9
33707;340,8;261,9;45.577,40;193,5;406,5;521,8;9.843,60;1.883,20;2,1;1.283,60;691.368,70;1.257,00;8.768,70;3.898.900,10;1.138,80;266.508,80;0;984,9;447,9
33708;339;258,9;45.018,20;191,4;400;512,9;9.769,10;1.856,10;2,2;1.265,90;682.493,40;1.239,80;8.674,50;3.842.880,60;1.123,80;262.880,50;0;972,1;440,9
33709;339;261,5;45.349,30;193;402,3;521,7;9.840,40;1.877,80;2,2;1.278,50;690.898,10;1.252,10;8.715,60;3.887.665,10;1.137,60;266.094,20;0;983,4;446
33710;336,7;260,6;44.893,40;192,7;397,8;519,7;9.691,60;1.868,90;2,1;1.268,10;684.643,10;1.241,80;8.597,20;3.847.996,90;1.119,40;263.955,60;0;970,9;441,9
33711;336,7;260,6;44.893,40;192,7;397,8;519,7;9.691,60;1.868,90;2,1;1.268,10;684.643,10;1.241,80;8.597,20;3.847.996,90;1.119,40;263.955,60;0;970,9;441,9
33714;336,7;260,6;44.893,40;192,7;397,8;519,7;9.691,60;1.868,90;2,1;1.268,10;680.884,00;1.241,80;8.597,20;3.847.996,90;1.119,40;263.955,60;0;970,9;441,9
33715;338,3;262,1;45.384,10;193,5;399,3;523,5;9.672,90;1.877,20;2,2;1.268,30;685.688,70;1.242,00;8.656,80;3.865.175,60;1.127,60;263.126,10;0;978,4;443
33716;338,1;260,9;45.354,90;191,8;400,7;521,2;9.720,10;1.860,20;2,2;1.262,20;679.976,90;1.236,00;8.660,60;3.830.021,90;1.124,20;261.763,80;0;973,6;441,6
33717;338,5;261;45.501,00;191,8;401,7;522,1;9.705,30;1.860,30;2,2;1.266,60;684.734,30;1.240,40;8.682,10;3.830.212,10;1.127,20;263.838,40;0;975,2;445
